quarter,selected_ticker,selected_company,selected_sector,selected_score,selected_signal_class,selected_risk_level,selected_quarter_return,selected_return_3m,peer_ticker,peer_company,peer_score,peer_signal_class,peer_risk_level,peer_quarter_return,peer_return_3m,score_gap,return_gap,opportunity_cost_level
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,STB,Sacombank,70.0,Positive Signal,High Risk,11.49,19.63,5.67,6.46,Moderate Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,VPB,VPBank,69.58,Positive Signal,Medium Risk,13.8,22.36,5.25,9.19,Moderate Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,HDB,HDBank,63.5,Neutral,Medium Risk,16.67,18.5,-0.83,5.33,Moderate Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,TPB,TPBank,62.92,Neutral,Medium Risk,12.44,17.26,-1.41,4.09,Moderate Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,CTG,VietinBank,59.75,Neutral,Medium Risk,4.25,12.07,-4.58,-1.1,No Clear Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,MBB,Military Bank,56.25,Neutral,Medium Risk,1.44,8.68,-8.08,-4.49,No Clear Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,TCB,Techcombank,52.08,Neutral,Medium Risk,3.31,10.34,-12.25,-2.83,No Clear Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,VCB,Vietcombank,46.92,Weak Signal,Medium Risk,10.66,15.85,-17.41,2.68,Moderate Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,BID,BIDV,46.0,Weak Signal,Medium Risk,12.15,19.08,-18.33,5.91,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,STB,Sacombank,70.0,Positive Signal,High Risk,11.49,19.63,24.0,0.55,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,VPB,VPBank,69.58,Positive Signal,Medium Risk,13.8,22.36,23.58,3.28,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,ACB,ACB,64.33,Neutral,Medium Risk,10.11,13.17,18.33,-5.91,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,HDB,HDBank,63.5,Neutral,Medium Risk,16.67,18.5,17.5,-0.58,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,TPB,TPBank,62.92,Neutral,Medium Risk,12.44,17.26,16.92,-1.82,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,CTG,VietinBank,59.75,Neutral,Medium Risk,4.25,12.07,13.75,-7.01,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,MBB,Military Bank,56.25,Neutral,Medium Risk,1.44,8.68,10.25,-10.4,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,TCB,Techcombank,52.08,Neutral,Medium Risk,3.31,10.34,6.08,-8.74,Low Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,VCB,Vietcombank,46.92,Weak Signal,Medium Risk,10.66,15.85,0.92,-3.23,Low Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,STB,Sacombank,70.0,Positive Signal,High Risk,11.49,19.63,10.25,7.56,Moderate Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,VPB,VPBank,69.58,Positive Signal,Medium Risk,13.8,22.36,9.83,10.29,Moderate Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,ACB,ACB,64.33,Neutral,Medium Risk,10.11,13.17,4.58,1.1,Low Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,HDB,HDBank,63.5,Neutral,Medium Risk,16.67,18.5,3.75,6.43,Moderate Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,TPB,TPBank,62.92,Neutral,Medium Risk,12.44,17.26,3.17,5.19,Moderate Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,MBB,Military Bank,56.25,Neutral,Medium Risk,1.44,8.68,-3.5,-3.39,No Clear Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,TCB,Techcombank,52.08,Neutral,Medium Risk,3.31,10.34,-7.67,-1.73,No Clear Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,VCB,Vietcombank,46.92,Weak Signal,Medium Risk,10.66,15.85,-12.83,3.78,Moderate Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,BID,BIDV,46.0,Weak Signal,Medium Risk,12.15,19.08,-13.75,7.01,Moderate Opportunity Cost
