quarter,ticker,quarter_start_date,quarter_end_date,quarter_start_price,quarter_end_price,quarter_return,volume_avg,trading_value_avg,trading_days
2023Q1,ACB,2023-01-03,2023-03-31,11.47,12.63,10.1133391455972,3566417.1016949154,44409970.50474577,59
2023Q2,ACB,2023-04-03,2023-06-30,12.75,13.33,4.54901960784313,7009870.241935484,90218603.62016128,62
2023Q3,ACB,2023-07-03,2023-09-29,13.33,13.21,-0.900225056264059,8697272.26984127,118712542.1425397,63
2023Q4,ACB,2023-10-02,2023-12-29,13.24,14.45,9.138972809667667,5950153.215384616,81115121.14246154,65
2024Q1,ACB,2024-01-02,2024-03-29,14.78,17.23,16.57645466847091,11883630.101694915,192352778.84932205,59
2024Q2,ACB,2024-04-01,2024-06-28,17.2,17.13,-0.40697674418604946,9475289.967213115,162195127.77950817,61
2024Q3,ACB,2024-07-01,2024-09-30,17.13,18.54,8.231173380035028,7914142.875,140182166.93375,64
2024Q4,ACB,2024-10-01,2024-12-31,18.54,18.57,0.16181229773464256,6784716.651515151,123740968.745,66
2025Q1,ACB,2025-01-02,2025-03-31,18.43,18.72,1.5735214324470892,6708082.793103448,124510905.45,58
2025Q2,ACB,2025-04-01,2025-06-30,18.75,18.35,-2.1333333333333204,11983067.639344262,211550592.11114755,61
2025Q3,ACB,2025-07-01,2025-09-30,18.35,21.97,19.727520435967282,19059346.078125,415312416.325,64
2025Q4,ACB,2025-10-01,2025-12-31,22.23,20.68,-6.972559604138551,10500860.621212121,227531740.50863636,66
2026Q1,ACB,2026-01-05,2026-03-31,20.68,20.29,-1.8858800773694395,15506947.210526315,318960209.16017544,57
2026Q2,ACB,2026-04-01,2026-06-30,20.51,22.65,10.433934666016565,18663499.870967742,397948981.6601613,62
2026Q3,ACB,2026-07-01,2026-07-08,22.65,22.7,0.22075055187638082,10788850.0,243393123.33333334,6
2023Q1,BCM,2023-01-03,2023-03-31,80.24,79.18,-1.3210368893319946,94161.03389830509,7504746.158135593,59
2023Q2,BCM,2023-04-03,2023-06-30,79.76,75.65,-5.152958876629887,142707.56451612903,10934726.290806452,62
2023Q3,BCM,2023-07-03,2023-09-29,77.27,66.39,-14.080496958716182,276360.9365079365,19560353.62111111,63
2023Q4,BCM,2023-10-02,2023-12-29,66.29,60.9,-8.130939809926097,327257.90769230766,19604848.692307692,65
2024Q1,BCM,2024-01-02,2024-03-29,59.93,62.84,4.855664942432836,887416.3220338983,55664665.356271185,59
2024Q2,BCM,2024-04-01,2024-06-28,62.26,61.77,-0.7870221651140263,842536.0655737704,49934034.27295082,61
2024Q3,BCM,2024-07-01,2024-09-30,61.1,67.97,11.243862520458258,794160.25,53427161.39640625,64
2024Q4,BCM,2024-10-01,2024-12-31,68.07,69.69,2.37990304098723,246349.18181818182,16286832.436060606,66
2025Q1,BCM,2025-01-02,2025-03-31,69.6,73.53,5.646551724137949,462326.4137931034,34357132.6712069,58
2025Q2,BCM,2025-04-01,2025-06-30,74.61,63.11,-15.413483447259079,589575.2950819673,34587394.4147541,61
2025Q3,BCM,2025-07-01,2025-09-30,63.4,65.76,3.722397476340711,584386.71875,39481045.11875,64
2025Q4,BCM,2025-10-01,2025-12-31,65.76,60.75,-7.618613138686136,225658.81818181818,14545466.20439394,66
2026Q1,BCM,2026-01-05,2026-03-31,60.06,53.1,-11.588411588411585,1353101.245614035,89537171.68947369,57
2026Q2,BCM,2026-04-01,2026-06-30,54.1,52.4,-3.1423290203327237,426435.48387096776,23186684.677419353,62
2026Q3,BCM,2026-07-01,2026-07-08,52.8,50.7,-3.977272727272718,393200.0,20163110.0,6
2023Q1,BID,2023-01-03,2023-03-31,29.88,33.51,12.148594377510037,1250625.3050847459,40208933.67508475,59
2023Q2,BID,2023-04-03,2023-06-30,33.29,31.44,-5.557224391709214,870076.6129032258,28024790.298387095,62
2023Q3,BID,2023-07-03,2023-09-29,32.27,32.17,-0.30988534242331056,1650213.746031746,55803193.700793654,63
2023Q4,BID,2023-10-02,2023-12-29,31.88,35.47,11.260978670012545,937211.5076923077,29844194.430307694,65
2024Q1,BID,2024-01-02,2024-03-29,35.14,42.58,21.172453044963003,1912224.7288135593,78082004.80322035,59
2024Q2,BID,2024-04-01,2024-06-28,42.58,35.35,-16.9798027242837,1747020.5573770492,69333274.52065574,61
2024Q3,BID,2024-07-01,2024-09-30,35.88,40.62,13.210702341137104,2418070.234375,95038788.2959375,64
2024Q4,BID,2024-10-01,2024-12-31,40.62,37.14,-8.567208271787285,2212945.4393939395,85737016.25999999,66
2025Q1,BID,2025-01-02,2025-03-31,37.78,38.32,1.4293276866066629,3308420.379310345,131388683.8362069,58
2025Q2,BID,2025-04-01,2025-06-30,38.57,35.9,-6.922478610318905,3664391.9672131147,130013726.00803278,61
2025Q3,BID,2025-07-01,2025-09-30,36.2,39.56,9.281767955801111,8938964.859375,354923829.0420312,64
2025Q4,BID,2025-10-01,2025-12-31,39.61,38.9,-1.7924766473112919,2730152.984848485,104823624.9409091,66
2026Q1,BID,2026-01-05,2026-03-31,38.45,39.4,2.4707412223667014,10671277.192982456,504212057.8947368,57
2026Q2,BID,2026-04-01,2026-06-30,40.25,42.4,5.341614906832293,6744135.483870967,282540926.12903225,62
2026Q3,BID,2026-07-01,2026-07-08,43.05,41.8,-2.9036004645760727,3846233.3333333335,162146440.8333333,6
